"name"	"key"	"decimalLatitude"	"decimalLongitude"	"issues"	"datasetKey"	"publishingOrgKey"	"publishingCountry"	"protocol"	"lastCrawled"	"lastParsed"	"crawlId"	"extensions"	"basisOfRecord"	"individualCount"	"taxonKey"	"kingdomKey"	"phylumKey"	"classKey"	"orderKey"	"familyKey"	"genusKey"	"speciesKey"	"scientificName"	"kingdom"	"phylum"	"order"	"family"	"genus"	"species"	"genericName"	"specificEpithet"	"taxonRank"	"coordinatePrecision"	"elevation"	"elevationAccuracy"	"stateProvince"	"year"	"month"	"day"	"eventDate"	"modified"	"lastInterpreted"	"license"	"identifiers"	"facts"	"relations"	"geodeticDatum"	"class"	"countryCode"	"country"	"identifier"	"catalogNumber"	"recordedBy"	"habitat"	"institutionCode"	"locality"	"municipality"	"county"	"collectionCode"	"gbifID"	"occurrenceID"	"fieldNotes"	"coordinateUncertaintyInMeters"	"continent"	"fieldNumber"	"identifiedBy"
"Hepatica nobilis"	1797667793	59.35479	11.038714	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:38.759+0000"	"2017-12-21T06:58:38.777+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	7	0	0	"<U+00D8>stfold"	2017	3	26	"2017-03-26T00:00:00.000+0000"	"2017-03-28T08:09:12.000+0000"	"2017-12-21T06:58:47.275+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16602836"	"16602836"	"Bj<U+00F8>rn Petter L<U+00F8>fall"	"barskog"	"NBF"	"Sarpsborg, Sandtangneset, Sarpsborg, <U+00D8>s"	"Sarpsborg"	"<U+00D8>stfold"	"SO2-Vascular"	"1797667793"	"NBF:SO2-Vascular:16602836"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797665577	59.075143	10.448602	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:36.552+0000"	"2017-12-21T06:58:36.576+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	8	0	0	"Vestfold"	2017	3	16	"2017-03-16T00:00:00.000+0000"	"2017-03-16T21:02:04.000+0000"	"2017-12-21T06:58:43.950+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16512857"	"16512857"	"Per Marstad, Turid Nakling Kristiansen"	"Hasselskog"	"NBF"	"Storemyr-Fagerbakken Landskapsvernomr<U+00E5>de, Tj<U+00F8>me, Ve"	"Tj<U+00F8>me"	"Vestfold"	"SO2-Vascular"	"1797665577"	"NBF:SO2-Vascular:16512857"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797704652	59.615063	8.980054	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:59:19.679+0000"	"2017-12-21T06:59:19.698+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	5	0	0	"Telemark"	2017	3	18	"2017-03-18T00:00:00.000+0000"	"2017-06-05T20:12:35.000+0000"	"2017-12-21T06:59:54.294+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:17307629"	"17307629"	"David Mundal"	NA	"NBF"	"Omnesskriun, Sauland, Hjartdal, Te"	"Hjartdal"	"Telemark"	"SO2-Vascular"	"1797704652"	"NBF:SO2-Vascular:17307629"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797686237	60.085302	10.904173	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:57.896+0000"	"2017-12-21T06:58:57.919+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	10	0	0	"Akershus"	2017	3	28	"2017-03-28T00:00:00.000+0000"	"2017-05-10T21:55:50.000+0000"	"2017-12-21T06:59:20.183+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:17067651"	"17067651"	"Jan Wesenberg, Anne Helen Skartlien"	"Fuktig granskog"	"NBF"	"AK Nittedal: Ramndalskollen/Bergsdalen, Nittedal, Ak"	"Nittedal"	"Akershus"	"SO2-Vascular"	"1797686237"	"NBF:SO2-Vascular:17067651"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797667020	58.996595	9.667301	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:37.936+0000"	"2017-12-21T06:58:37.955+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	5	0	0	"Telemark"	2017	3	20	"2017-03-20T00:00:00.000+0000"	"2017-03-21T23:07:17.000+0000"	"2017-12-21T06:58:45.965+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16550206"	"16550206"	"<U+00D8>ivind Wathne Johannessen"	NA	"NBF"	"Vinjestranda, Bamble, Te"	"Bamble"	"Telemark"	"SO2-Vascular"	"1797667020"	"NBF:SO2-Vascular:16550206"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797667842	59.355211	11.043403	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:38.797+0000"	"2017-12-21T06:58:38.819+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	7	0	0	"<U+00D8>stfold"	2017	3	26	"2017-03-26T00:00:00.000+0000"	"2017-03-28T08:09:11.000+0000"	"2017-12-21T06:58:47.295+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16602863"	"16602863"	"Bj<U+00F8>rn Petter L<U+00F8>fall"	"barskog"	"NBF"	"Sarpsborg, Sandtangneset, Sarpsborg, <U+00D8>s"	"Sarpsborg"	"<U+00D8>stfold"	"SO2-Vascular"	"1797667842"	"NBF:SO2-Vascular:16602863"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797661889	59.6662	10.947598	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:32.392+0000"	"2017-12-21T06:58:32.428+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	20	0	0	"Akershus"	2017	3	2	"2017-03-02T00:00:00.000+0000"	"2017-03-02T14:55:30.000+0000"	"2017-12-21T06:58:37.117+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16407337"	"16407337"	"K<U+00E5>re Arnstein Lye"	"i hasselskog"	"NBF"	"Skotbu i Kr<U+00E5>kstad, nord for jernbanen, Ski, Ak"	"Ski"	"Akershus"	"SO2-Vascular"	"1797661889"	"NBF:SO2-Vascular:16407337"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797663381	60.064239	10.178604	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:34.086+0000"	"2017-12-21T06:58:34.154+0000"	20	"none"	"HUMAN_OBSERVATION"	1	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	10	0	0	"Buskerud"	2017	3	10	"2017-03-10T00:00:00.000+0000"	"2017-03-11T09:07:39.000+0000"	"2017-12-21T06:58:39.342+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16446800"	"16446800"	"Terje Spolen Nilsen"	NA	"NBF"	"Leinetajet, Hole, Bu"	"Hole"	"Buskerud"	"SO2-Vascular"	"1797663381"	"NBF:SO2-Vascular:16446800"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797668286	63.578395	9.996758	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:39.279+0000"	"2017-12-21T06:58:39.299+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	5	0	0	"S<U+00F8>r-Tr<U+00F8>ndelag"	2017	3	29	"2017-03-29T00:00:00.000+0000"	"2017-03-29T22:03:34.000+0000"	"2017-12-21T06:58:47.904+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16621532"	"16621532"	"Gunn Nyborg"	NA	"NBF"	"Sj<U+00F8>lia, Botn, Rissa, St"	"Rissa"	"S<U+00F8>r-Tr<U+00F8>ndelag"	"SO2-Vascular"	"1797668286"	"NBF:SO2-Vascular:16621532"	NA	NA	NA	NA	NA
"Hepatica nobilis"	1797682951	58.524058	8.876505	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:53.113+0000"	"2017-12-21T06:58:53.128+0000"	20	"none"	"HUMAN_OBSERVATION"	1	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	5	0	0	"Aust-Agder"	2017	3	24	"2017-03-24T00:00:00.000+0000"	"2017-05-05T11:11:01.000+0000"	"2017-12-21T06:59:14.868+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:17000777"	"17000777"	"Asbj<U+00F8>rn Lie"	NA	"NBF"	"Nesheia V5, Arendal, Aa"	"Arendal"	"Aust-Agder"	"SO2-Vascular"	"1797682951"	"NBF:SO2-Vascular:17000777"	"Quantity: 1 Plants."	NA	NA	NA	NA
"Hepatica nobilis"	1797662386	59.877901	10.758296	"cdround,gass84"	"b124e1e0-4755-430f-9eab-894f25a9b59c"	"d3978a37-635a-4ae3-bb85-7b4d41bc0b88"	"NO"	"DWC_ARCHIVE"	"2017-12-21T06:58:32.974+0000"	"2017-12-21T06:58:33.000+0000"	20	"none"	"HUMAN_OBSERVATION"	0	5371699	6	7707728	220	399	2410	3033655	5371699	"Hepatica nobilis Schreb."	"Plantae"	"Tracheophyta"	"Ranunculales"	"Ranunculaceae"	"Hepatica"	"Hepatica nobilis"	"Hepatica"	"nobilis"	"SPECIES"	20	0	0	"Oslo"	2017	3	3	"2017-03-03T00:00:00.000+0000"	"2017-03-03T21:00:38.000+0000"	"2017-12-21T06:58:38.024+0000"	"http://creativecommons.org/licenses/by/4.0/legalcode"	"none"	"none"	"none"	"WGS84"	"Magnoliopsida"	"NO"	"Norway"	"NBF:SO2-Vascular:16413782"	"16413782"	"K<U+00E5>re Arnstein Lye"	"i edellauvskog"	"NBF"	"Orm<U+00F8>ya, nordsida, Oslo, Os"	"Oslo"	"Oslo"	"SO2-Vascular"	"1797662386"	"NBF:SO2-Vascular:16413782"	NA	NA	NA	NA	NA
