"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	10.178379	60.064087
"Hepatica nobilis"	11.039253	59.35501
"Hepatica nobilis"	11.043349	59.354781
"Hepatica nobilis"	10.216854	59.483154
"Hepatica nobilis"	9.988556	59.226683
"Hepatica nobilis"	11.043484	59.35484
"Hepatica nobilis"	10.903068	60.082668
"Hepatica nobilis"	11.040573	63.748663
"Hepatica nobilis"	10.746411	59.346927
"Hepatica nobilis"	11.04361	59.354969
"Hepatica nobilis"	11.043232	59.354868
"Hepatica nobilis"	7.979762	58.064561
"Hepatica nobilis"	9.953019	59.188072
"Hepatica nobilis"	10.769911	59.230401
"Hepatica nobilis"	9.667121	60.038274
"Hepatica nobilis"	10.441146	59.342164
"Hepatica nobilis"	11.043708	59.354941
"Hepatica nobilis"	9.934352	59.147224
"Hepatica nobilis"	10.494011	59.964799
"Hepatica nobilis"	7.880606	58.100447
"Hepatica nobilis"	11.043771	59.354978
"Hepatica nobilis"	11.043116	59.355211
"Hepatica nobilis"	11.342569	63.76693
"Hepatica nobilis"	8.874717	58.523922
"Hepatica nobilis"	10.902583	60.081454
"Hepatica nobilis"	10.908997	59.077489
"Hepatica nobilis"	10.903994	59.080992
"Hepatica nobilis"	10.486475	63.404188
"Hepatica nobilis"	10.902628	59.929786
"Hepatica nobilis"	10.350784	59.473491
"Hepatica nobilis"	8.770629	58.427631
"Hepatica nobilis"	9.366446	59.414314
"Hepatica nobilis"	10.976416	59.285932
"Hepatica nobilis"	7.693469	58.130412
"Hepatica nobilis"	10.882075	59.885713
"Hepatica nobilis"	11.11402	59.166701
"Hepatica nobilis"	9.91723	59.147796
"Hepatica nobilis"	10.956374	59.962187
"Hepatica nobilis"	10.180517	59.022867
"Hepatica nobilis"	9.903594	58.969956
"Hepatica nobilis"	11.113876	59.16672
"Hepatica nobilis"	10.7276	59.733101
"Hepatica nobilis"	10.908808	59.077392
"Hepatica nobilis"	10.871915	60.032257
"Hepatica nobilis"	10.908036	59.077899
"Hepatica nobilis"	10.976452	59.286019
"Hepatica nobilis"	10.084173	60.824261
"Hepatica nobilis"	9.36659	59.416128
"Hepatica nobilis"	9.360149	59.413912
"Hepatica nobilis"	10.899394	59.871387
"Hepatica nobilis"	9.037411	59.40561
"Hepatica nobilis"	10.184227	59.409953
"Hepatica nobilis"	9.928028	59.139728
"Hepatica nobilis"	10.990447	60.64981
"Hepatica nobilis"	9.669071	59.227846
"Hepatica nobilis"	9.365503	59.415283
"Hepatica nobilis"	10.165956	59.458928
"Hepatica nobilis"	18.943601	69.643287
"Hepatica nobilis"	10.840707	59.948901
"Hepatica nobilis"	11.120991	59.163731
"Hepatica nobilis"	11.112268	59.168262
"Hepatica nobilis"	6.945082	58.296936
"Hepatica nobilis"	9.956442	59.199201
"Hepatica nobilis"	10.477042	59.864149
"Hepatica nobilis"	9.883148	59.240363
"Hepatica nobilis"	10.368166	59.320138
"Hepatica nobilis"	9.363868	59.413756
"Hepatica nobilis"	10.015865	59.190897
"Hepatica nobilis"	10.716497	59.8803
"Hepatica nobilis"	9.668433	59.207687
"Hepatica nobilis"	12.250164	64.455238
"Hepatica nobilis"	10.908701	59.077858
"Hepatica nobilis"	8.891938	61.132943
"Hepatica nobilis"	11.112277	59.16864
"Hepatica nobilis"	11.112241	59.169151
"Hepatica nobilis"	9.417515	60.04236
