"species"	"decimalLongitude"	"decimalLatitude"
"Hepatica nobilis"	16.697121	59.04965
"Hepatica nobilis"	8.276441	46.956139
"Hepatica nobilis"	-92.18508	35.979334
"Hepatica nobilis"	16.599932	56.689874
"Hepatica nobilis"	16.259596	58.958196
"Hepatica nobilis"	10.645656	59.509501
"Hepatica nobilis"	10.592898	59.421599
"Hepatica nobilis"	-81.597504	41.202778
"Hepatica nobilis"	-80.954685	35.391639
"Hepatica nobilis"	-88.13172	41.319558
"Hepatica nobilis"	9.94409	59.206413
"Hepatica nobilis"	-92.190699	35.980801
"Hepatica nobilis"	18.0236	59.355413
"Hepatica nobilis"	18.271194	62.850727
"Hepatica nobilis"	-93.376623	34.522277
"Hepatica nobilis"	10.652079	59.503488
"Hepatica nobilis"	-80.775719	35.454669
"Hepatica nobilis"	11.86816	43.841889
"Hepatica nobilis"	10.021412	52.093739
"Hepatica nobilis"	-93.376089	34.523078
"Hepatica nobilis"	-84.644292	37.826646
"Hepatica nobilis"	-87.743225	40.142322
"Hepatica nobilis"	-89.483337	42.682822
"Hepatica nobilis"	17.639058	59.825882
"Hepatica nobilis"	16.472803	59.674433
"Hepatica nobilis"	13.575691	54.582012
"Hepatica nobilis"	17.914949	59.440641
"Hepatica nobilis"	8.679958	50.131691
"Hepatica nobilis"	-79.119776	35.996083
"Hepatica nobilis"	9.663878	59.22519
"Hepatica nobilis"	-79.764319	36.162889
"Hepatica nobilis"	16.605124	57.666517
"Hepatica nobilis"	-81.188154	35.819858
"Hepatica nobilis"	1.83474	42.87448
"Hepatica nobilis"	11.043691	59.35485
"Hepatica nobilis"	9.165796	48.757915
"Hepatica nobilis"	17.381484	62.184513
"Hepatica nobilis"	15.029893	57.512559
"Hepatica nobilis"	14.902368	57.240692
"Hepatica nobilis"	10.810622	51.550682
"Hepatica nobilis"	-78.97693	36.032684
"Hepatica nobilis"	17.834119	59.214855
"Hepatica nobilis"	11.15633	59.043126
"Hepatica nobilis"	18.150685	59.254332
"Hepatica nobilis"	18.266424	59.239178
"Hepatica nobilis"	17.921686	59.438951
"Hepatica nobilis"	11.043071	59.355161
"Hepatica nobilis"	11.038714	59.35479
"Hepatica nobilis"	10.448602	59.075143
"Hepatica nobilis"	8.980054	59.615063
"Hepatica nobilis"	10.904173	60.085302
"Hepatica nobilis"	11.84285	48.922672
"Hepatica nobilis"	16.279863	48.238845
"Hepatica nobilis"	-88.696752	40.004784
"Hepatica nobilis"	6.949388	47.000964
"Hepatica nobilis"	-89.154019	40.637947
"Hepatica nobilis"	10.007194	53.684624
"Hepatica nobilis"	12.178205	47.579739
"Hepatica nobilis"	10.170111	51.659668
"Hepatica nobilis"	10.816727	51.536514
"Hepatica nobilis"	16.080679	59.440961
"Hepatica nobilis"	17.470292	60.180677
"Hepatica nobilis"	9.667301	58.996595
"Hepatica nobilis"	11.043403	59.355211
"Hepatica nobilis"	10.947598	59.6662
"Hepatica nobilis"	16.147145	59.518602
"Hepatica nobilis"	11.359692	48.845402
"Hepatica nobilis"	10.319095	48.855637
"Hepatica nobilis"	10.510912	51.946671
"Hepatica nobilis"	10.194857	49.702461
"Hepatica nobilis"	10.510912	51.946671
"Hepatica nobilis"	9.58437	51.293716
"Hepatica nobilis"	14.173888	55.780677
"Hepatica nobilis"	16.437912	56.593201
"Hepatica nobilis"	17.933221	58.912854
"Hepatica nobilis"	17.887703	59.523081
"Hepatica nobilis"	18.117384	59.243575
"Hepatica nobilis"	13.072356	56.040749
"Hepatica nobilis"	-84.69977	36.515823
